post_code,avg_sold_price_12months,detached_12months,semi_detached_12months,terraced_12months,flat_12months
BB2,163524,285219,170276,102069,99833
M41,308916,441518,306433,257713,171913
L30,124747,217666,137166,100470,76750
L3,179201,62661,179687,187165,182574
BL1,205890,433943,210748,120851,120456
CH44,130622,181333,163704,109588,87888
M8,162788,292000,208116,131410,101576
L22,211075,350333,245443,195433,104206
L20,114931,181222,157113,88098,58250
OL2,193661,299133,196248,136191,102444
CW7,180139,245429,152481,133549,98312
WA8,201209,326114,179292,121580,93194
LA2,285880,373045,254729,193946,108900
BL5,191609,299535,183037,137581,94237
M16,284693,448125,372893,265552,167736
M26,182082,276975,186588,131865,97231
L13,121171,340000,141678,118615,58037
BB3,143880,255470,159522,103038,63854
L2,118785,0,0,0,118785
L38,367669,450167,239338,0,0
CW6,460025,559954,319126,304605,189750
OL12,182519,275135,169155,125966,111942
WA2,182207,299251,182494,127318,85416
CW11,271174,344345,220634,179706,124166
LA19,186306,374975,140833,106000,0
L11,123608,204445,130206,100405,0
CW9,263438,383363,233003,154340,119164
OL9,174828,303006,179360,122480,98628
M28,288935,442427,264756,205366,135726
L17,246647,486565,322438,241429,172113
L31,229042,301838,207329,186086,114181
PR3,286755,368788,222093,179297,141102
CA17,305315,354571,314666,243100,120000
M40,163603,237950,175656,143621,115020
M19,242440,415000,268532,212422,140681
M34,193433,289260,206802,148540,102333
LA4,164838,265836,170325,122021,107430
PR5,187752,277790,161192,129135,142322
LA3,174550,254070,166287,134308,92368
M11,167141,102625,194573,157533,118440
L26,190470,301619,172515,142906,70000
PR2,179817,272777,181517,117106,86467
M6,200940,309460,238046,176097,125833
LA9,251080,375195,258118,219718,149740
CH2,270413,352687,283923,221798,143943
M14,195420,307200,260979,167733,162688
SK1,165615,238000,196708,160197,94285
L21,128858,204362,158585,105506,76333
M9,164369,301153,161179,132921,86400
M43,173796,275000,181688,147929,118833
BB7,282287,432359,239530,187092,129476
SK2,263129,368118,270709,198282,113972
CA2,124045,203911,139530,96116,74117
BB18,169220,352043,196836,122228,69000
M4,233669,0,241333,275166,226713
M22,210917,318504,238462,192032,130283
CH48,485985,743524,389043,248444,265652
SY14,373422,530987,250988,254617,316333
CW3,317441,403265,203480,209466,208666
LA11,308664,397938,284894,294217,188921
BL7,287220,402908,252305,217200,158842
CA13,266067,353459,254209,184741,96249
CA4,272071,334295,245491,190861,166281
CA10,297824,404637,254743,191955,122214
WA10,168925,295229,181482,107980,118582
M1,224541,270000,0,317250,221421
PR26,262302,326052,217827,170080,112000
CW2,232950,342104,180060,136282,122707
L34,215337,296336,227846,110853,83500
SK10,423453,653835,315244,248456,209819
CH46,181181,242298,170945,126992,105160
CA6,213805,256917,171184,128787,95000
CA11,236975,340561,217176,182446,111966
L33,124225,172434,127595,96607,72975
CW5,313023,424599,271706,184635,142718
WA12,196544,277946,181060,152243,108388
PR4,257466,332306,200402,151921,108349
BB12,170492,313328,164118,105076,88666
CA16,247560,321200,183547,172325,135000
CW1,174162,240458,160759,114912,82094
BB4,215855,356783,231174,140574,138272
WA6,317431,438551,257664,219250,173208
CH62,188738,319424,184779,146691,119426
OL8,126934,239633,153986,106291,58250
M13,190805,0,223500,198113,140416
M18,143958,209833,172730,133179,80000
WN2,150601,248426,150484,104682,75500
CA22,157331,268608,121671,100283,72500
SK15,227435,380977,200534,157563,85450
L18,345943,607142,407040,252575,203074
L23,288632,458884,289374,190809,184055
CA5,255227,288015,226233,184357,137000
BL3,154844,253706,176753,104222,86785
BB11,113289,283535,164509,77179,60500
L4,100172,205633,131092,90985,79528
M50,237605,0,414500,367400,201792
CH47,366818,537100,347287,285194,236956
LA22,557366,730600,622142,388695,426026
CW4,379222,510324,297743,200000,121150
PR9,202942,322590,194944,158948,124593
OL6,173152,290716,193097,120767,82600
OL13,160511,270630,173077,99414,95000
CA15,129517,216878,153017,98050,83125
WN6,212271,307538,182032,131696,117550
M20,370797,690638,406906,376657,238363
L19,249636,484739,278804,168443,143997
LA10,299302,450428,254468,239571,161666
LA12,247355,357358,234632,188149,147916
SK16,192413,280140,200935,144005,84833
CH64,330547,454063,278882,214136,147146
LA13,195567,287600,213782,130385,107875
LA15,141429,273875,166597,118636,82333
CA28,148431,253785,144615,104745,136581
M5,183046,0,199562,180840,180748
OL4,186266,310646,209649,128505,152583
BL6,243088,391208,211834,156939,97266
L36,167307,249006,175088,124237,87379
OL11,206276,355261,177030,117552,106961
FY4,147720,257096,148573,103641,77362
CW12,268241,364640,221438,164221,139393
CH43,252289,415517,220366,175670,136617
CA14,154600,271665,151562,97966,72833
LA6,348862,454736,287084,270117,202928
LA1,189977,337545,189911,166039,128434
L35,180060,286043,164067,132589,87277
L32,125766,215183,129482,95371,44500
BB9,134842,320479,153017,85801,114666
L16,268624,271833,276771,233025,119666
SK9,526232,778702,491508,317740,242605
